label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Others,126,7,49,53,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,283,196,69,63,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Sickle,351,58,48,46,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,378,67,45,52,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,142,170,42,42,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,124,177,42,46,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,159,203,46,53,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,490,18,42,60,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,514,9,41,55,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,432,2,42,29,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,445,25,50,46,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,428,61,70,65,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,482,142,38,41,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,476,170,42,42,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,425,172,54,42,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,500,245,55,58,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,418,247,46,61,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,373,296,61,62,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,458,315,48,42,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,450,257,40,43,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,461,353,45,37,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,425,380,45,44,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,317,386,71,44,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,314,341,56,46,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,290,292,63,48,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,252,86,49,51,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Crystal,197,291,63,28,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,115,82,52,58,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,70,43,69,49,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,379,122,56,37,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,531,138,32,42,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,529,187,34,49,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,512,351,48,42,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,190,325,54,46,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,308,19,42,69,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Crystal,303,87,27,67,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,303,124,48,50,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,342,170,45,49,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,311,152,58,61,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,350,229,55,57,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,220,211,54,58,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,209,207,30,37,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,171,57,55,46,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,217,5,33,60,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,188,25,44,39,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,250,39,44,47,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,258,2,58,23,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,354,0,57,25,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,149,275,47,47,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,51,130,50,52,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,48,2,47,35,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
Others,35,42,44,58,FieldPos238_EDOF_RGB.tiff_02_01.png,566,483
